,text,question_mark_check,hashtag_check,url_check,lexical_diversity,words_count,sentiment,trend_score,image,image_type_bool,video,engagement_score
0,1,0,0,0,0.9615384615384616,26,0.5,87.85,0,0,0,0.012422222222222222
1,1,0,0,0,0.7272727272727273,44,0.07142857142857142,0.0,1,-1,0,0.0003111111111111111
2,1,0,0,0,0.9615384615384616,26,0.5,87.85,0,0,0,0.012422222222222222
3,1,0,1,0,0.5882352941176471,17,0.0,7.75,1,-1,0,0.0044666666666666665
4,1,0,0,1,0.5490196078431373,51,0.0,4.3,0,0,1,0.0030444444444444442
5,1,0,0,0,1.0,6,0.0,0.0,0,0,0,0.004711111111111111
6,1,0,9,1,0.9142857142857143,35,0.13636363636363635,0.0,0,0,0,0.004622222222222222
7,1,0,25,0,0.9777777777777777,45,0.0,0.0,1,-1,0,0.00046666666666666666
8,1,0,3,0,0.7857142857142857,42,-0.04,0.0,0,0,0,0.0003111111111111111
9,1,0,7,0,0.9193548387096774,62,0.025000000000000012,15.9,0,0,1,0.003111111111111111
10,1,0,58,0,0.5555555555555556,72,0.0,86.05,0,0,0,0.0032444444444444443
11,1,0,0,0,1.0,9,0.0,0.0,1,-1,0,0.002688888888888889
12,1,0,12,1,0.8541666666666666,48,0.0,0.0,0,0,0,8.888888888888889e-05
13,1,1,0,1,1.0,7,0.0,0.0,0,0,0,0.0005111111111111112
14,1,1,3,1,0.9230769230769231,52,0.75,0.0,0,0,1,0.0020444444444444447
15,1,0,8,1,0.9591836734693877,49,0.3590909090909091,0.0,0,0,0,0.002111111111111111
16,1,1,23,0,0.9583333333333334,72,0.20999999999999996,0.0,0,0,0,0.0016
17,1,0,0,0,1.0,7,0.0,0.0,0,0,0,0.0004222222222222222
18,1,0,7,1,0.8245614035087719,57,0.11000000000000001,0.0,1,-1,0,0.0007555555555555555
19,1,0,0,0,1.0,9,0.0,0.0,1,-1,0,0.002111111111111111
20,1,0,0,0,1.0,12,0.16,0.0,0,0,0,0.002511111111111111
21,1,0,0,0,0.9615384615384616,26,0.5,87.85,0,0,0,0.012422222222222222
22,1,0,0,0,0.832,125,0.14399842581660763,0.0,0,0,0,0.0054
23,1,0,0,0,1.0,16,0.0,49.55,0,0,0,0.0028
24,1,0,0,0,1.0,3,0.0,8.45,0,0,0,0.0092
25,1,0,0,0,1.0,1,0.0,43.55,0,0,0,0.003533333333333333
26,1,0,6,1,0.9056603773584906,53,0.0,0.0,1,-1,0,0.0003333333333333333
27,1,0,11,1,0.8181818181818182,132,0.2025,0.0,0,0,0,0.00024444444444444443
28,1,1,9,1,0.8034682080924855,173,0.2183673469387755,27.7,0,0,0,0.00011111111111111112
29,1,0,0,0,0.8181818181818182,44,0.2,2.4,0,0,0,0.0005777777777777778
30,1,0,0,0,1.0,9,0.0,0.0,1,-1,0,0.0018444444444444443
31,1,0,29,0,1.0,43,-0.16666666666666666,0.0,0,0,0,0.0011777777777777778
32,1,0,8,1,0.9411764705882353,51,0.175,0.0,1,-1,0,0.0010666666666666667
33,1,0,0,1,0.75,48,0.0,0.0,1,-1,0,0.001511111111111111
34,1,0,0,0,1.0,10,0.225,0.0,0,0,0,6.666666666666667e-05
35,1,0,0,1,0.8636363636363636,66,0.3333333333333333,0.0,0,0,0,0.00011111111111111112
36,1,0,0,0,0.883495145631068,103,0.04166666666666667,6.55,0,0,0,0.002488888888888889
37,1,0,0,0,0.7848101265822784,79,0.18888888888888886,0.0,0,0,0,0.0021777777777777776
38,1,1,9,1,0.98,50,-0.06666666666666667,0.0,0,0,0,0.001888888888888889
39,1,0,10,1,0.96,50,0.1,42.35,0,0,0,0.00035555555555555557
40,1,0,0,0,0.8181818181818182,11,-0.125,0.0,0,0,0,0.0036888888888888887
41,1,1,6,1,0.7872340425531915,94,0.17857142857142858,0.0,1,-1,0,0.0008222222222222222
42,1,0,0,0,0.9615384615384616,26,0.5,87.85,0,0,0,0.012422222222222222
43,1,0,0,1,0.9375,32,0.0,0.0,0,0,1,0.0009111111111111111
44,1,0,5,1,1.0,30,0.0,0.0,0,0,0,0.0007111111111111111
45,1,1,24,1,0.47572815533980584,103,0.4,0.0,0,0,0,0.0007555555555555555
46,1,1,12,1,0.48333333333333334,180,0.09489795918367347,0.0,0,0,0,0.0009333333333333333
47,1,1,0,0,0.8958333333333334,48,0.12916666666666668,0.0,1,-1,0,0.0014444444444444444
48,1,0,6,1,0.86,50,0.39999999999999997,41.35,0,0,0,0.0013111111111111112
49,1,0,1,0,0.918918918918919,37,0.3333333333333333,14.1,1,-1,0,0.0013777777777777777
