,text,question_mark_check,hashtag_check,url_check,lexical_diversity,words_count,sentiment,trend_score,image,image_type_bool,video,engagement_score
0,1,0,0,1,0.7631578947368421,38,-0.5297520661157026,5.0,0,0,0,0.0028855721393034827
4,1,0,0,0,1.0,12,0.0,2.9,0,0,0,0.0012437810945273632
5,1,0,9,1,0.9629629629629629,27,0.0,0.0,0,0,0,4.9751243781094526e-05
6,1,0,8,0,0.7142857142857143,35,0.0,2.9,1,-1,0,0.00014925373134328358
7,1,0,0,1,1.0,5,0.0,73.0,1,-1,0,0.0013432835820895521
8,1,0,0,0,0.8571428571428571,42,-0.19666666666666668,0.0,0,0,0,0.0004975124378109452
11,1,0,0,0,1.0,8,0.0,43.65,1,-1,0,0.0005970149253731343
13,1,0,0,0,1.0,10,0.0,0.0,0,0,0,0.0038308457711442785
16,1,1,0,0,1.0,8,0.0,0.0,0,0,0,0.0002487562189054726
17,1,0,0,0,0.8518518518518519,27,-0.2833333333333334,6.8,0,0,0,0.0019402985074626865
18,1,0,0,0,0.8666666666666667,15,0.375,28.45,1,-1,0,0.0003482587064676617
19,1,0,0,0,0.9090909090909091,44,0.19999999999999998,31.45,1,-1,0,0.0007462686567164179
20,1,0,0,0,0.7636363636363637,55,0.05833333333333334,0.0,1,-1,0,4.9751243781094526e-05
21,1,0,0,1,0.7631578947368421,38,-0.5297520661157026,5.0,0,0,0,0.0028855721393034827
24,1,0,9,0,0.75,32,0.0,8.3,1,-1,0,0.001044776119402985
25,1,1,23,0,0.921875,64,0.2,0.0,0,0,0,4.9751243781094526e-05
26,1,0,0,0,0.90625,32,0.35,0.1,0,0,0,0.0010945273631840797
27,1,0,0,0,0.5625,16,0.6000000000000001,0.0,1,-1,0,0.0003482587064676617
30,1,1,0,0,1.0,13,0.0,72.8,0,0,0,0.00044776119402985075
32,1,0,0,1,0.751937984496124,129,0.31865530303030304,0.0,0,0,0,4.9751243781094526e-05
37,1,0,0,0,0.9629629629629629,27,-0.19999999999999998,0.0,0,0,0,0.0005472636815920398
38,1,0,0,0,1.0,9,-0.6,9.6,0,0,0,0.00029850746268656717
39,1,0,0,0,0.9655172413793104,29,-0.3,5.0,0,0,0,0.0004975124378109452
40,1,1,0,0,0.84,25,0.16666666666666666,0.0,0,0,0,4.9751243781094526e-05
41,1,1,0,0,0.9166666666666666,24,0.040340909090909094,46.2,1,-1,0,9.950248756218905e-05
42,1,0,0,1,0.7631578947368421,38,-0.5297520661157026,5.0,0,0,0,0.0028855721393034827
43,1,0,0,0,0.9411764705882353,34,0.0,4.35,1,-1,0,0.0001990049751243781
44,1,0,0,0,0.7872340425531915,47,0.03333333333333333,0.0,1,-1,0,4.9751243781094526e-05
45,1,0,0,0,0.9166666666666666,12,0.0,4.1,0,0,0,0.0009950248756218905
46,1,1,2,0,0.8666666666666667,45,0.0875,0.0,1,-1,0,9.950248756218905e-05
47,1,0,0,1,0.75,164,0.22889610389610388,0.0,1,-1,0,4.9751243781094526e-05
49,1,0,0,0,0.7538461538461538,65,0.12348484848484849,0.0,1,-1,0,0.0002487562189054726
