,text,question_mark_check,hashtag_check,url_check,lexical_diversity,words_count,sentiment,trend_score,image,image_type_bool,video,engagement_score
0,1,0,0,0,1,18,1,1,0,0,0,0.000187377
1,1,0,0,1,0.956521739,23,0.4,8.95,0,0,0,2.96E-05
9,1,0,0,0,1,9,0,14.35,0,0,0,0.000364892
10,1,0,0,1,0.933333333,15,0.386666667,0,0,0,0,3.94E-05
14,1,0,0,0,0.9,10,0,31.85,0,0,0,0.000197239
15,1,0,0,0,0.868421053,38,0.5,46.7,0,0,0,2.96E-05
16,1,0,0,0,1,1,0,43.55,0,0,0,3.94E-05
18,1,0,0,1,1,7,-0.6,2.05,0,0,0,0.000177515
20,1,0,0,0,0.9,40,0.068181818,0,1,-1,0,1.97E-05
21,1,0,0,0,1,18,1,1,0,0,0,0.000187377
22,1,0,0,0,0.705882353,34,0,1.05,1,-1,0,9.86E-06
23,1,0,0,0,1,17,0,18.6,0,0,0,0.000187377
24,1,0,0,0,1,1,0,43.55,0,0,0,9.86E-06
25,1,0,0,0,0.941176471,17,0.7,36.25,0,0,0,0.000157791
26,1,0,0,0,0.888888889,36,0,76.3,0,0,0,6.90E-05
28,1,0,0,1,1,9,0,18.7,0,0,0,0.002218935
30,1,0,0,1,1,22,0.35,12.75,0,0,1,6.90E-05
31,1,0,0,1,0.923076923,13,0.4,31.85,0,0,0,0.00081854
32,1,0,0,0,0.9,70,0.36,0,0,0,0,1.97E-05
33,1,0,0,1,1,16,0,0,0,0,0,0.000177515
34,1,0,0,0,1,14,0.2,66.3,0,0,0,0.000147929
35,1,0,0,0,1,13,0,1,0,0,0,0.000177515
36,1,0,0,1,1,10,0,1,0,0,0,0.000325444
37,1,0,0,1,1,6,0,25.25,0,0,0,0.000167653
38,1,0,0,1,1,14,0.5,12.9,0,0,0,0.000138067
39,1,1,0,0,1,12,0,83.8,0,0,0,0.000187377
41,1,0,0,0,1,2,0,72.8,0,0,0,9.86E-05
42,1,0,0,0,1,18,1,1,0,0,0,0.000187377
43,1,0,0,0,1,7,0,0,0,0,0,0.000187377
45,1,0,0,1,1,12,0,11.1,0,0,0,0.000512821
46,1,0,0,0,1,15,0.52,8.2,1,-1,0,7.89E-05
47,1,0,0,1,0.972222222,36,0,0,0,0,0,2.96E-05
